# result_score/gnn_result_revision_260815_baseline
# Averaged data
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med  pre0.5 pre1.0 pre1.5 rec0.5 rec1.0 rec1.5 f1_0.5 f1_1.0 f1_1.5
   182    182 -1.000 |  5.234  3.521  1.422  0.3854 0.5026 0.5420 0.3854 0.5026 0.5420 0.3854 0.5026 0.5420
   182    364 -1.000 |  2.708  1.639  0.638  0.2296 0.3214 0.3607 0.4592 0.6427 0.7215 0.3061 0.4285 0.4810
   182    546 -1.000 |  1.793  1.124  0.563  0.1601 0.2314 0.2656 0.4803 0.6943 0.7968 0.2402 0.3472 0.3984
   182    728 -1.000 |  1.414  0.934  0.542  0.1221 0.1794 0.2083 0.4885 0.7176 0.8332 0.1954 0.2870 0.3333
   182    910 -1.000 |  1.237  0.849  0.531  0.0984 0.1457 0.1704 0.4920 0.7287 0.8518 0.1640 0.2429 0.2839
   182   1092 -1.000 |  1.152  0.810  0.526  0.0823 0.1224 0.1436 0.4938 0.7346 0.8618 0.1411 0.2099 0.2462
   182   1274 -1.000 |  1.109  0.790  0.524  0.0707 0.1054 0.1239 0.4946 0.7379 0.8673 0.1237 0.1845 0.2168
   182   1456 -1.000 |  1.088  0.780  0.524  0.0619 0.0925 0.1088 0.4950 0.7396 0.8705 0.1100 0.1644 0.1934
   182   1638 -1.000 |  1.075  0.775  0.523  0.0550 0.0823 0.0969 0.4953 0.7407 0.8723 0.0991 0.1481 0.1745
   182   1058 -1.000 |  1.063  0.769  0.522  0.0804 0.1223 0.1453 0.4956 0.7420 0.8743 0.1360 0.2064 0.2450
#
#
