# result_score/gnn_result_revision_260815_noCSE
# Averaged data
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med  pre0.5 pre1.0 pre1.5 rec0.5 rec1.0 rec1.5 f1_0.5 f1_1.0 f1_1.5
   182    182 -1.000 |  5.234  3.518  1.405  0.3896 0.5046 0.5424 0.3896 0.5046 0.5424 0.3896 0.5046 0.5424
   182    364 -1.000 |  2.711  1.642  0.640  0.2301 0.3210 0.3600 0.4603 0.6419 0.7199 0.3068 0.4279 0.4799
   182    546 -1.000 |  1.802  1.130  0.563  0.1603 0.2312 0.2651 0.4808 0.6935 0.7952 0.2404 0.3467 0.3976
   182    728 -1.000 |  1.423  0.939  0.540  0.1222 0.1791 0.2080 0.4889 0.7164 0.8319 0.1955 0.2866 0.3328
   182    910 -1.000 |  1.243  0.851  0.530  0.0985 0.1456 0.1702 0.4926 0.7280 0.8512 0.1642 0.2427 0.2837
   182   1092 -1.000 |  1.156  0.811  0.527  0.0824 0.1223 0.1435 0.4943 0.7338 0.8612 0.1412 0.2097 0.2461
   182   1274 -1.000 |  1.111  0.791  0.525  0.0708 0.1053 0.1239 0.4953 0.7371 0.8671 0.1238 0.1843 0.2168
   182   1456 -1.000 |  1.085  0.779  0.524  0.0620 0.0924 0.1088 0.4957 0.7389 0.8703 0.1102 0.1642 0.1934
   182   1638 -1.000 |  1.073  0.774  0.523  0.0551 0.0822 0.0969 0.4958 0.7397 0.8720 0.0992 0.1479 0.1744
   182   1065 -1.000 |  1.059  0.767  0.522  0.0799 0.1213 0.1443 0.4961 0.7412 0.8745 0.1352 0.2049 0.2435
#
#
