# result_score/gnn_result_revision_260815_noRMSE
# Averaged data
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med  pre0.5 pre1.0 pre1.5 rec0.5 rec1.0 rec1.5 f1_0.5 f1_1.0 f1_1.5
   182    182 -1.000 |  5.176  3.461  1.318  0.3864 0.5088 0.5488 0.3864 0.5088 0.5488 0.3864 0.5088 0.5488
   182    364 -1.000 |  2.632  1.594  0.632  0.2275 0.3224 0.3633 0.4549 0.6448 0.7266 0.3033 0.4299 0.4844
   182    546 -1.000 |  1.748  1.104  0.568  0.1579 0.2312 0.2664 0.4737 0.6937 0.7993 0.2369 0.3468 0.3996
   182    728 -1.000 |  1.391  0.927  0.549  0.1202 0.1787 0.2084 0.4806 0.7147 0.8336 0.1923 0.2859 0.3334
   182    910 -1.000 |  1.229  0.852  0.542  0.0967 0.1450 0.1702 0.4836 0.7248 0.8509 0.1612 0.2416 0.2836
   182   1092 -1.000 |  1.153  0.817  0.539  0.0808 0.1216 0.1433 0.4851 0.7298 0.8596 0.1386 0.2085 0.2456
   182   1274 -1.000 |  1.113  0.799  0.538  0.0694 0.1046 0.1235 0.4858 0.7325 0.8648 0.1214 0.1831 0.2162
   182   1456 -1.000 |  1.093  0.790  0.537  0.0608 0.0917 0.1085 0.4861 0.7340 0.8676 0.1080 0.1631 0.1928
   182   1638 -1.000 |  1.083  0.786  0.536  0.0540 0.0816 0.0966 0.4863 0.7348 0.8692 0.0973 0.1470 0.1738
   182   1069 -1.000 |  1.071  0.780  0.536  0.0780 0.1199 0.1431 0.4864 0.7357 0.8711 0.1321 0.2026 0.2417
#
#
