# result_score/gnn_result_revision_260815_nopw
# Averaged data
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med  pre0.5 pre1.0 pre1.5 rec0.5 rec1.0 rec1.5 f1_0.5 f1_1.0 f1_1.5
   182    182 -1.000 |  5.164  3.446  1.311  0.3929 0.5100 0.5495 0.3929 0.5100 0.5495 0.3929 0.5100 0.5495
   182    364 -1.000 |  2.616  1.579  0.620  0.2319 0.3240 0.3640 0.4639 0.6480 0.7280 0.3092 0.4320 0.4853
   182    546 -1.000 |  1.734  1.091  0.556  0.1612 0.2327 0.2672 0.4837 0.6980 0.8016 0.2418 0.3490 0.4008
   182    728 -1.000 |  1.375  0.913  0.537  0.1228 0.1800 0.2093 0.4910 0.7201 0.8370 0.1964 0.2880 0.3348
   182    910 -1.000 |  1.212  0.836  0.529  0.0988 0.1462 0.1710 0.4942 0.7309 0.8550 0.1647 0.2436 0.2850
   182   1092 -1.000 |  1.130  0.798  0.524  0.0826 0.1228 0.1442 0.4959 0.7369 0.8651 0.1417 0.2105 0.2472
   182   1274 -1.000 |  1.090  0.780  0.522  0.0709 0.1057 0.1243 0.4966 0.7397 0.8703 0.1241 0.1849 0.2176
   182   1456 -1.000 |  1.069  0.771  0.522  0.0621 0.0927 0.1092 0.4970 0.7414 0.8734 0.1104 0.1648 0.1941
   182   1638 -1.000 |  1.059  0.766  0.521  0.0552 0.0825 0.0972 0.4972 0.7422 0.8750 0.0994 0.1484 0.1750
   182   1125 -1.000 |  1.046  0.760  0.520  0.0758 0.1153 0.1372 0.4973 0.7434 0.8773 0.1295 0.1963 0.2334
#
#
