# wkgb/2rbk_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   102     22 20.000 |  9.020  8.322 10.000       9     12     16   0.602
   102     27 19.000 |  8.794  8.001 10.000      10     14     18   0.599
   102     32 18.000 |  8.563  7.650 10.000      11     17     21   0.599
   102     40 17.000 |  8.388  7.447 10.000      11     17     21   0.647
   102     46 16.000 |  8.112  7.087 10.000      11     18     23   0.680
   102     62 15.000 |  7.422  6.128  8.434      14     25     31   0.696
   102     76 14.000 |  6.895  5.440  5.614      18     31     38   0.674
   102    101 13.000 |  5.966  4.423  3.200      18     37     45   0.719
   102    136 12.000 |  4.864  3.410  1.379      22     45     53   0.643
   102    170 11.000 |  3.696  2.481  0.974      26     52     61   0.643
   102    214 10.000 |  3.072  1.935  0.821      27     60     71   0.661
   102    279  9.000 |  2.066  1.343  0.739      33     67     80   0.645
   102    361  8.000 |  1.508  1.028  0.676      36     73     86   0.666
   102    465  7.000 |  1.230  0.870  0.645      38     77     92   0.636
   102    602  6.000 |  0.976  0.760  0.640      38     80     95   0.652
   102    771  5.000 |  0.809  0.690  0.640      38     81     99   0.669
   102   1007  4.000 |  0.799  0.684  0.640      38     81    100   0.663
   102   1326  3.000 |  0.780  0.678  0.640      38     81    100   0.662
   102   1751  2.000 |  0.777  0.676  0.640      38     81    100   0.660
   102   1751  1.000 |  0.777  0.676  0.640      38     81    100   0.660
   102   1751  0.000 |  0.777  0.676  0.640      38     81    100   0.660
#
