# wkgb/2vb1_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    56      8 20.000 |  9.331  8.861 10.000       3      5      5   0.398
    56      9 19.000 |  9.235  8.694 10.000       3      6      6   0.442
    56     11 18.000 |  9.041  8.361 10.000       3      8      8   0.499
    56     16 17.000 |  8.569  7.630 10.000       6     11     11   0.435
    56     23 16.000 |  8.110  7.027 10.000       6     11     13   0.552
    56     27 15.000 |  7.749  6.481 10.000       8     14     16   0.527
    56     41 14.000 |  6.611  5.085  4.805      10     19     22   0.562
    56     57 13.000 |  5.553  3.877  1.288      12     24     29   0.648
    56     67 12.000 |  4.871  3.274  1.196      14     26     31   0.627
    56     84 11.000 |  3.739  2.443  1.101      15     27     35   0.672
    56    116 10.000 |  2.533  1.686  0.823      15     31     39   0.694
    56    155  9.000 |  2.060  1.376  0.740      15     34     43   0.712
    56    192  8.000 |  1.456  1.057  0.740      15     36     47   0.756
    56    250  7.000 |  0.987  0.833  0.718      15     38     51   0.773
    56    326  6.000 |  0.881  0.769  0.701      16     39     53   0.769
    56    415  5.000 |  0.849  0.749  0.701      16     40     54   0.749
    56    557  4.000 |  0.849  0.749  0.701      16     40     54   0.749
    56    746  3.000 |  0.849  0.749  0.701      16     40     54   0.749
    56   1014  2.000 |  0.847  0.748  0.701      16     40     54   0.748
    56   1014  1.000 |  0.847  0.748  0.701      16     40     54   0.748
    56   1014  0.000 |  0.847  0.748  0.701      16     40     54   0.748
#
