# watGNN/3vor_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    75     25 95.000 |  8.320  7.189 10.000      14     17     19   0.376
    75     45 90.000 |  7.240  5.671  8.245      22     26     29   0.371
    75     69 85.000 |  5.671  3.970  1.224      26     34     39   0.438
    75     89 80.000 |  4.428  2.762  0.664      30     44     49   0.459
    75    102 75.000 |  3.967  2.400  0.644      31     45     51   0.491
    75    125 70.000 |  2.834  1.653  0.578      32     49     56   0.552
    75    139 65.000 |  2.536  1.490  0.556      33     50     57   0.549
    75    167 60.000 |  2.146  1.232  0.524      34     53     60   0.550
    75    187 55.000 |  1.942  1.106  0.523      35     55     62   0.548
    75    210 50.000 |  1.473  0.907  0.523      35     57     64   0.559
    75    249 45.000 |  1.202  0.769  0.516      36     58     68   0.565
    75    277 40.000 |  1.128  0.721  0.509      37     59     69   0.557
    75    312 35.000 |  1.087  0.696  0.509      37     60     70   0.561
    75    359 30.000 |  0.878  0.648  0.509      37     60     70   0.561
    75    406 25.000 |  0.800  0.619  0.509      37     60     71   0.570
    75    457 20.000 |  0.800  0.619  0.509      37     60     71   0.570
    75    510 15.000 |  0.791  0.612  0.509      37     61     71   0.562
    75    573 10.000 |  0.791  0.612  0.509      37     61     71   0.562
    75    614  5.000 |  0.768  0.597  0.509      37     62     72   0.547
    75    784  0.000 |  0.679  0.559  0.509      37     63     74   0.559
#
