# watGNN/3qr7_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    20      4 95.000 |  9.078  8.379 10.000       3      3      3   0.218
    20      7 90.000 |  8.514  7.725 10.000       3      3      3   0.218
    20     10 85.000 |  7.970  6.987 10.000       3      4      4   0.301
    20     12 80.000 |  7.377  6.208  6.907       4      5      5   0.274
    20     14 75.000 |  7.183  5.740  6.474       5      7      7   0.334
    20     21 70.000 |  6.716  5.143  4.831       6      8      8   0.318
    20     29 65.000 |  6.222  4.589  4.329       6      9      9   0.342
    20     35 60.000 |  5.247  3.568  0.645       7     11     11   0.362
    20     45 55.000 |  4.342  2.750  0.540       8     12     12   0.349
    20     62 50.000 |  2.562  1.521  0.540       8     14     15   0.451
    20     79 45.000 |  2.418  1.472  0.540       8     14     15   0.451
    20     95 40.000 |  2.126  1.353  0.540       8     14     15   0.451
    20    112 35.000 |  2.126  1.353  0.540       8     14     15   0.451
    20    152 30.000 |  2.126  1.353  0.540       8     14     15   0.451
    20    210 25.000 |  1.414  0.972  0.540       8     14     16   0.587
    20    281 20.000 |  1.136  0.779  0.540       8     16     18   0.618
    20    409 15.000 |  0.964  0.725  0.540       8     16     18   0.618
    20    549 10.000 |  0.964  0.725  0.540       8     16     18   0.618
    20    705  5.000 |  0.964  0.725  0.540       8     16     18   0.618
    20    800  0.000 |  0.964  0.725  0.540       8     16     18   0.618
#
