# 3drism/7a3h_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   129      5 16.000 |  9.829  9.691 10.000       3      3      4   0.585
   129      6 15.000 |  9.798  9.649 10.000       3      3      4   0.585
   129     13 14.000 |  9.620  9.383 10.000       4      4      5   0.532
   129     21 13.000 |  9.296  8.803 10.000       8     11     13   0.579
   129     32 12.000 |  8.867  8.123 10.000      10     16     20   0.634
   129     44 11.000 |  8.401  7.411 10.000      13     22     28   0.680
   129     68 10.000 |  7.481  6.181  8.843      18     30     39   0.707
   129     93  9.000 |  6.616  5.145  4.760      23     39     50   0.700
   129    139  8.000 |  4.992  3.576  1.651      25     49     63   0.756
   129    203  7.000 |  3.262  2.129  1.011      33     63     83   0.764
   129    299  6.000 |  1.966  1.343  0.825      37     75     98   0.783
   129    438  5.000 |  1.706  1.196  0.803      38     79    101   0.776
   129    651  4.000 |  1.566  1.101  0.799      39     83    105   0.771
   129    891  3.000 |  1.566  1.101  0.799      39     83    105   0.771
   129   1168  2.000 |  1.566  1.101  0.799      39     83    105   0.771
   129   1368  1.000 |  1.530  1.077  0.786      39     84    106   0.770
   129   1368  0.000 |  1.530  1.077  0.786      39     84    106   0.770
   129   1368 -1.000 |  1.530  1.077  0.786      39     84    106   0.770
   129   1368 -2.000 |  1.530  1.077  0.786      39     84    106   0.770
#
