# result_score/gnn_result_revision_260815_250
# Averaged data
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med  pre0.5 pre1.0 pre1.5 rec0.5 rec1.0 rec1.5 f1_0.5 f1_1.0 f1_1.5
   182    182 -1.000 |  5.434  3.915  2.298  0.2174 0.3873 0.4623 0.2174 0.3873 0.4623 0.2174 0.3873 0.4623
   182    364 -1.000 |  2.973  2.029  1.123  0.1279 0.2435 0.3085 0.2559 0.4871 0.6171 0.1706 0.3247 0.4114
   182    546 -1.000 |  2.062  1.470  0.965  0.0896 0.1767 0.2317 0.2687 0.5300 0.6950 0.1344 0.2650 0.3475
   182    728 -1.000 |  1.665  1.242  0.905  0.0688 0.1385 0.1851 0.2752 0.5541 0.7403 0.1101 0.2216 0.2961
   182    910 -1.000 |  1.468  1.131  0.877  0.0558 0.1137 0.1535 0.2788 0.5684 0.7675 0.0929 0.1895 0.2558
   182   1092 -1.000 |  1.368  1.075  0.862  0.0468 0.0962 0.1305 0.2810 0.5770 0.7833 0.0803 0.1649 0.2238
   182   1274 -1.000 |  1.315  1.046  0.854  0.0403 0.0832 0.1133 0.2824 0.5824 0.7931 0.0706 0.1456 0.1983
   182   1456 -1.000 |  1.285  1.029  0.849  0.0354 0.0732 0.0999 0.2832 0.5857 0.7993 0.0629 0.1301 0.1776
   182   1638 -1.000 |  1.267  1.019  0.846  0.0315 0.0653 0.0892 0.2837 0.5878 0.8032 0.0567 0.1176 0.1606
   182   1175 -1.000 |  1.244  1.004  0.840  0.0414 0.0873 0.1209 0.2844 0.5913 0.8092 0.0711 0.1498 0.2070
#
#
