# result_score/gnn_result_revision_260815_2000
# Averaged data
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med  pre0.5 pre1.0 pre1.5 rec0.5 rec1.0 rec1.5 f1_0.5 f1_1.0 f1_1.5
   182    182 -1.000 |  5.218  3.523  1.438  0.3682 0.4965 0.5394 0.3682 0.4965 0.5394 0.3682 0.4965 0.5394
   182    364 -1.000 |  2.682  1.652  0.683  0.2155 0.3130 0.3563 0.4309 0.6260 0.7127 0.2873 0.4173 0.4751
   182    546 -1.000 |  1.799  1.156  0.610  0.1495 0.2246 0.2618 0.4484 0.6737 0.7853 0.2242 0.3368 0.3927
   182    728 -1.000 |  1.438  0.972  0.588  0.1138 0.1738 0.2053 0.4551 0.6951 0.8210 0.1820 0.2780 0.3284
   182    910 -1.000 |  1.271  0.892  0.581  0.0916 0.1410 0.1678 0.4578 0.7052 0.8390 0.1526 0.2351 0.2797
   182   1092 -1.000 |  1.188  0.853  0.577  0.0765 0.1185 0.1415 0.4592 0.7108 0.8490 0.1312 0.2031 0.2426
   182   1274 -1.000 |  1.146  0.834  0.575  0.0657 0.1020 0.1221 0.4599 0.7138 0.8544 0.1150 0.1784 0.2136
   182   1456 -1.000 |  1.124  0.824  0.574  0.0575 0.0894 0.1072 0.4602 0.7154 0.8575 0.1023 0.1590 0.1906
   182   1638 -1.000 |  1.113  0.819  0.574  0.0512 0.0796 0.0955 0.4604 0.7162 0.8593 0.0921 0.1432 0.1719
   182   1075 -1.000 |  1.100  0.812  0.572  0.0734 0.1162 0.1408 0.4605 0.7174 0.8617 0.1245 0.1966 0.2380
#
#
