# result_score/gnn_result_revision_260815_500
# Averaged data
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med  pre0.5 pre1.0 pre1.5 rec0.5 rec1.0 rec1.5 f1_0.5 f1_1.0 f1_1.5
   182    182 -1.000 |  5.351  3.759  1.930  0.2737 0.4348 0.4963 0.2737 0.4348 0.4963 0.2737 0.4348 0.4963
   182    364 -1.000 |  2.851  1.866  0.920  0.1616 0.2753 0.3310 0.3231 0.5505 0.6619 0.2154 0.3670 0.4413
   182    546 -1.000 |  1.945  1.330  0.801  0.1128 0.1991 0.2463 0.3383 0.5974 0.7390 0.1691 0.2987 0.3695
   182    728 -1.000 |  1.561  1.121  0.760  0.0862 0.1552 0.1952 0.3450 0.6210 0.7807 0.1380 0.2484 0.3123
   182    910 -1.000 |  1.382  1.026  0.744  0.0696 0.1267 0.1607 0.3482 0.6333 0.8034 0.1161 0.2111 0.2678
   182   1092 -1.000 |  1.291  0.980  0.737  0.0583 0.1067 0.1360 0.3497 0.6402 0.8161 0.0999 0.1829 0.2332
   182   1274 -1.000 |  1.240  0.954  0.732  0.0501 0.0920 0.1177 0.3507 0.6443 0.8238 0.0877 0.1611 0.2060
   182   1456 -1.000 |  1.214  0.941  0.730  0.0439 0.0809 0.1036 0.3512 0.6468 0.8284 0.0780 0.1437 0.1841
   182   1638 -1.000 |  1.200  0.934  0.728  0.0390 0.0720 0.0923 0.3514 0.6482 0.8311 0.0703 0.1296 0.1662
   182   1158 -1.000 |  1.182  0.924  0.726  0.0520 0.0977 0.1267 0.3518 0.6503 0.8351 0.0891 0.1671 0.2165
#
#
