# result_score/gnn_result_revision_260815_125
# Averaged data
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med  pre0.5 pre1.0 pre1.5 rec0.5 rec1.0 rec1.5 f1_0.5 f1_1.0 f1_1.5
   182    182 -1.000 |  5.477  4.005  2.491  0.1823 0.3559 0.4391 0.1823 0.3559 0.4391 0.1823 0.3559 0.4391
   182    364 -1.000 |  3.020  2.113  1.238  0.1083 0.2248 0.2934 0.2166 0.4495 0.5868 0.1444 0.2997 0.3912
   182    546 -1.000 |  2.110  1.544  1.059  0.0760 0.1633 0.2212 0.2280 0.4900 0.6636 0.1140 0.2450 0.3318
   182    728 -1.000 |  1.716  1.311  0.992  0.0585 0.1283 0.1775 0.2339 0.5134 0.7100 0.0936 0.2053 0.2840
   182    910 -1.000 |  1.524  1.199  0.959  0.0475 0.1055 0.1477 0.2375 0.5277 0.7385 0.0792 0.1759 0.2462
   182   1092 -1.000 |  1.423  1.140  0.940  0.0399 0.0894 0.1260 0.2397 0.5366 0.7559 0.0685 0.1533 0.2160
   182   1274 -1.000 |  1.366  1.107  0.928  0.0345 0.0775 0.1096 0.2412 0.5424 0.7672 0.0603 0.1356 0.1918
   182   1456 -1.000 |  1.332  1.087  0.922  0.0303 0.0683 0.0968 0.2421 0.5461 0.7745 0.0538 0.1213 0.1721
   182   1638 -1.000 |  1.314  1.076  0.919  0.0270 0.0609 0.0866 0.2427 0.5485 0.7791 0.0485 0.1097 0.1558
   182   1182 -1.000 |  1.289  1.061  0.913  0.0351 0.0810 0.1168 0.2434 0.5522 0.7861 0.0604 0.1391 0.2002
#
#
