# result_score/gnn_result_revision_260815_1000
# Averaged data
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med  pre0.5 pre1.0 pre1.5 rec0.5 rec1.0 rec1.5 f1_0.5 f1_1.0 f1_1.5
   182    182 -1.000 |  5.294  3.648  1.710  0.3241 0.4657 0.5167 0.3241 0.4657 0.5167 0.3241 0.4657 0.5167
   182    364 -1.000 |  2.799  1.777  0.801  0.1898 0.2934 0.3426 0.3796 0.5869 0.6851 0.2530 0.3913 0.4567
   182    546 -1.000 |  1.889  1.251  0.704  0.1322 0.2117 0.2537 0.3966 0.6350 0.7610 0.1983 0.3175 0.3805
   182    728 -1.000 |  1.507  1.049  0.672  0.1009 0.1645 0.2001 0.4038 0.6579 0.8002 0.1615 0.2631 0.3201
   182    910 -1.000 |  1.328  0.959  0.659  0.0814 0.1339 0.1642 0.4069 0.6695 0.8209 0.1356 0.2232 0.2736
   182   1092 -1.000 |  1.240  0.915  0.652  0.0681 0.1127 0.1388 0.4086 0.6761 0.8325 0.1167 0.1932 0.2379
   182   1274 -1.000 |  1.193  0.892  0.649  0.0585 0.0971 0.1199 0.4095 0.6799 0.8394 0.1024 0.1700 0.2098
   182   1456 -1.000 |  1.169  0.880  0.648  0.0512 0.0852 0.1054 0.4099 0.6819 0.8431 0.0911 0.1515 0.1874
   182   1638 -1.000 |  1.156  0.874  0.647  0.0456 0.0759 0.0939 0.4102 0.6830 0.8453 0.0820 0.1366 0.1691
   182   1137 -1.000 |  1.141  0.866  0.646  0.0618 0.1047 0.1311 0.4104 0.6844 0.8483 0.1056 0.1788 0.2235
#
#
